# block 4.0.133  pattern SSWSWWSWSSWSWSWWS  |Aut| 2  new
 0 13  1 11  2 12  3 16  4 10  5 14  6  8  7 15  9 17
 0 14  1 16  2  4  3  9  5  7  6 13  8 11 10 15 12 17
 0 15  1 17  2 14  3 13  4 16  5 11  6 10  7  9  8 12
 0 16  1  2  3  7  4 17  5 13  6 11  8 10  9 14 12 15
 0 17  1  3  2 10  4  7  5 12  6 16  8 15  9 11 13 14

# block 4.0.2237  pattern SSWSWWSWSWSWSSWSW  |Aut| 16  new
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17
 0  2  1  4  3  6  5  8  7 10  9 12 11 14 13 16 15 17
 0  3  1  5  2  7  4  9  6 11  8 13 10 15 12 17 14 16
 0  4  1  3  2 12  5 11  6 14  7  8  9 17 10 16 13 15
 0  5  1  2  3 13  4 10  6  9  7 15  8 16 11 17 12 14
 0  6  1  9  2 16  3  4  5 15  7 12  8 11 10 17 13 14
 0  7  1  8  2  5  3 17  4 14  6 13  9 10 11 16 12 15
 0  8  1  6  2 11  3 15  4 13  5 17  7 16  9 14 10 12
 0  9  1  7  2 14  3 10  4 16  5 12  6 17  8 15 11 13
 0 10  1 13  2  9  3 12  4 11  5  6  7 14  8 17 15 16
 0 11  1 12  2 13  3  8  4  7  5 10  6 15  9 16 14 17
 0 12  1 10  2  6  3 14  4  8  5 16  7  9 11 15 13 17
 0 13  1 11  2 15  3  7  4 17  5  9  6  8 10 14 12 16
 0 14  1 16  2  4  3 11  5 13  6 10  7 17  8 12  9 15
 0 15  1 17  2 10  3  5  4 12  6 16  7 11  8 14  9 13
 0 16  1 15  2 17  3  9  4  6  5 14  7 13  8 10 11 12
 0 17  1 14  2  8  3 16  4 15  5  7  6 12  9 11 10 13

# dup block 4.0.1777 -> class 4.0.133  pattern SSWSWSWSWSWSWSWWS  |Aut| 2  x1
