K20 complete graph factorization: all P1F classes with |Aut| > 3

Total: 230

     |Aut|   classes
         6       168
         9        46
        18         9
        19         3
        57         1
       171         2
       342         1

Each factorization is listed once, in the canonical form produced by the project
canonizer. Entries are sorted in ascending lexicographic order of that form.


#1 |Aut| = 6
 "   0 11   1 17   2 18   3 16   4 14   5 19   6  9   7 13   8 10  12 15 "
 "   0 12   1 15   2 16   3 13   4 19   5 11   6 17   7  9   8 18  10 14 "
 "   0 13   1 14   2 12   3 17   4 10   5 18   6  8   7 16   9 19  11 15 "
 "   0 14   1 18   2  4   3 12   5  9   6 10   7 19   8 16  11 13  15 17 "
 "   0 15   1 19   2 13   3  5   4  8   6 18   7 11   9 17  10 12  14 16 "
 "   0 16   1 11   2 14   3 10   4  7   5 17   6 19   8 15   9 13  12 18 "
 "   0 17   1 10   2 11   3 15   4 16   5  6   7 18   8 12   9 14  13 19 "
 "   0 18   1 13   2  9   3 11   4  6   5 12   7 14   8 19  10 17  15 16 "
 "   0 19   1 12   2 10   3  8   4 13   5  7   6 15   9 18  11 16  14 17 "

#5 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2  8   5 18   6 19   7 16   9 15  10 17  11 13  12 14 "
 "   0  5   1  2   3  9   4 19   6 17   7 18   8 14  10 12  11 16  13 15 "
 "   0  6   1 15   2 12   3  5   4 10   7  9   8 11  13 18  14 17  16 19 "
 "   0  7   1 14   2  4   3 13   5 11   6  8   9 10  12 19  15 16  17 18 "
 "   0  8   1 12   2  6   3 17   4 14   5  7   9 16  10 13  11 18  15 19 "
 "   0  9   1 13   2 16   3  7   4  6   5 15   8 17  10 19  11 12  14 18 "
 "   0 10   1 18   2  5   3 19   4  7   6 12   8 16   9 14  11 15  13 17 "
 "   0 11   1 19   2 18   3  4   5  6   7 13   8 15   9 17  10 14  12 16 "
 "   0 12   1  9   2 19   3 14   4 16   5 13   6 18   7 11   8 10  15 17 "
 "   0 13   1  8   2 15   3 18   4 12   5 17   6 10   7 19   9 11  14 16 "
 "   0 14   1 16   2  9   3 15   4 11   5 12   6 13   7 17   8 19  10 18 "
 "   0 15   1 17   2 14   3  8   4 13   5 10   6 16   7 12   9 18  11 19 "
 "   0 16   1  7   2 10   3 12   4 15   5 19   6 14   8 18   9 13  11 17 "
 "   0 17   1  6   2 13   3 11   4 18   5 14   7 15   8 12   9 19  10 16 "
 "   0 18   1 11   2 17   3 10   4  8   5 16   6  9   7 14  12 15  13 19 "
 "   0 19   1 10   2 11   3 16   4 17   5  9   6 15   7  8  12 18  13 14 "

#6 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2  8   5 19   6 10   7 16   9 17  11 12  13 15  14 18 "
 "   0  5   1  2   3  9   4 18   6 17   7 11   8 16  10 13  12 14  15 19 "
 "   0  6   1 10   2 18   3 17   4  8   5 12   7 14   9 15  11 16  13 19 "
 "   0  7   1 11   2 16   3 19   4 13   5  9   6 15   8 14  10 17  12 18 "
 "   0  8   1 16   2  6   3 10   4 12   5 14   7 19   9 18  11 13  15 17 "
 "   0  9   1 17   2 11   3  7   4 15   5 13   6 18   8 19  10 12  14 16 "
 "   0 10   1 19   2  9   3 12   4 14   5 18   6 16   7 15   8 11  13 17 "
 "   0 11   1 18   2 13   3  8   4 19   5 15   6 14   7 17   9 10  12 16 "
 "   0 12   1 14   2  4   3 15   5 11   6 13   7  8   9 16  10 19  17 18 "
 "   0 13   1 15   2 14   3  5   4 10   6  9   7 12   8 17  11 18  16 19 "
 "   0 14   1 13   2 12   3 16   4 17   5  7   6  8   9 19  10 18  11 15 "
 "   0 15   1 12   2 17   3 13   4  6   5 16   7  9   8 18  10 14  11 19 "
 "   0 16   1  9   2 10   3  4   5  6   7 18   8 15  11 17  12 19  13 14 "
 "   0 17   1  8   2  5   3 11   4  7   6 19   9 14  10 16  12 15  13 18 "
 "   0 18   1  7   2 19   3 14   4 11   5 17   6 12   8 10   9 13  15 16 "
 "   0 19   1  6   2 15   3 18   4 16   5 10   7 13   8 12   9 11  14 17 "

#7 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2 10   5 12   6 15   7 19   8 18   9 13  11 16  14 17 "
 "   0  5   1  2   3 11   4 13   6 18   7 14   8 12   9 19  10 17  15 16 "
 "   0  6   1 12   2 14   3 13   4 16   5 10   7  9   8 17  11 18  15 19 "
 "   0  7   1 13   2 12   3 15   4 11   5 17   6  8   9 16  10 19  14 18 "
 "   0  8   1 15   2 19   3  9   4 10   5  7   6 14  11 17  12 16  13 18 "
 "   0  9   1 14   2  8   3 18   4  6   5 11   7 15  10 16  12 19  13 17 "
 "   0 10   1 17   2  6   3  5   4 14   7 18   8 16   9 15  11 12  13 19 "
 "   0 11   1 16   2  4   3  7   5 15   6 19   8 14   9 17  10 13  12 18 "
 "   0 12   1  7   2 15   3 10   4 18   5  9   6 17   8 11  13 14  16 19 "
 "   0 13   1  6   2 11   3 14   4  8   5 19   7 16   9 10  12 15  17 18 "
 "   0 14   1  8   2 13   3 16   4 15   5  6   7 17   9 18  10 12  11 19 "
 "   0 15   1  9   2 17   3 12   4  7   5 14   6 16   8 19  10 18  11 13 "
 "   0 16   1 19   2 18   3  4   5 13   6 12   7  8   9 11  10 14  15 17 "
 "   0 17   1 18   2  5   3 19   4 12   6  9   7 13   8 10  11 15  14 16 "
 "   0 18   1 10   2  9   3 17   4 19   5 16   6 13   7 11   8 15  12 14 "
 "   0 19   1 11   2 16   3  8   4 17   5 18   6 10   7 12   9 14  13 15 "

#8 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2 10   5 14   6 17   7 12   8 18   9 13  11 19  15 16 "
 "   0  5   1  2   3 11   4 15   6 13   7 16   8 12   9 19  10 18  14 17 "
 "   0  6   1 16   2 17   3  4   5  9   7 15   8 19  10 14  11 13  12 18 "
 "   0  7   1 17   2  5   3 16   4  8   6 14   9 18  10 12  11 15  13 19 "
 "   0  8   1 15   2 12   3 10   4 19   5 11   6 16   7 18   9 17  13 14 "
 "   0  9   1 14   2 11   3 13   4 10   5 18   6 19   7 17   8 16  12 15 "
 "   0 10   1  7   2 15   3 19   4 11   5 16   6 12   8 17   9 14  13 18 "
 "   0 11   1  6   2 18   3 14   4 17   5 10   7 13   8 15   9 16  12 19 "
 "   0 12   1 18   2 19   3  9   4 14   5 17   6 15   7  8  10 13  11 16 "
 "   0 13   1 19   2  8   3 18   4 16   5 15   6  9   7 14  10 17  11 12 "
 "   0 14   1  8   2 13   3 17   4  6   5 12   7  9  10 16  11 18  15 19 "
 "   0 15   1  9   2 16   3 12   4 13   5  7   6  8  10 19  11 17  14 18 "
 "   0 16   1 11   2  6   3  5   4 12   7 19   8 14   9 10  13 15  17 18 "
 "   0 17   1 10   2  4   3  7   5 13   6 18   8 11   9 15  12 14  16 19 "
 "   0 18   1 13   2 14   3  8   4  7   5 19   6 10   9 11  12 16  15 17 "
 "   0 19   1 12   2  9   3 15   4 18   5  6   7 11   8 10  13 17  14 16 "

#9 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
