K18 complete graph factorization: all P1F classes with |Aut| > 1

Total: 10710

     |Aut|   classes
         2     10179
         3       351
         4       144
         8        22
        16        12
        17         1
       272         1

Each factorization is listed once, in the canonical form produced by the project
canonizer. Entries are sorted in ascending lexicographic order of that form.


#1 |Aut| = 2
 "   0  8   1 15   2 11   3 12   4 10   5 16   6 14   7 13   9 17 "
 "   0  9   1 14   2 13   3 10   4 17   5 11   6 12   7 15   8 16 "
 "   0 10   1 12   2  9   3 16   4 14   5  6   7  8  11 15  13 17 "
 "   0 11   1 13   2 17   3  8   4  7   5 15   6  9  10 14  12 16 "
 "   0 12   1  6   2  5   3 14   4 13   7 16   8 11   9 15  10 17 "
 "   0 13   1  7   2 15   3  4   5 12   6 17   8 14   9 10  11 16 "
 "   0 14   1 17   2  4   3 13   5 10   6 15   7 11   8 12   9 16 "
 "   0 15   1 16   2 12   3  5   4 11   6 10   7 14   8 17   9 13 "
 "   0 16   1 10   2 14   3 11   4 12   5  9   6  8   7 17  13 15 "
 "   0 17   1 11   2 10   3 15   4  8   5 13   6 16   7  9  12 14 "

#11 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 13   9 14  10 12  11 17  15 16 "
 "   0  5   1  2   3  9   4  6   7 12   8 15  10 16  11 13  14 17 "
 "   0  6   1 14   2  4   3 15   5 10   7 16   8 17   9 13  11 12 "
 "   0  7   1 15   2 14   3  5   4 11   6 17   8 12   9 16  10 13 "
 "   0  8   1 11   2 12   3 16   4  7   5 14   6  9  10 17  13 15 "
 "   0  9   1 10   2 17   3 13   4 15   5  6   7  8  11 16  12 14 "
 "   0 10   1 12   2  6   3  8   4 16   5 11   7 15   9 17  13 14 "
 "   0 11   1 13   2  9   3  7   4 10   5 17   6 14   8 16  12 15 "
 "   0 12   1  7   2 16   3 11   4 17   5 13   6  8   9 15  10 14 "
 "   0 13   1  6   2 10   3 17   4 12   5 16   7  9   8 14  11 15 "
 "   0 14   1 17   2 15   3 12   4 13   5  9   6 16   7 11   8 10 "
 "   0 15   1 16   2 13   3 14   4  8   5 12   6 10   7 17   9 11 "
 "   0 16   1  8   2 11   3  4   5 15   6 12   7 14   9 10  13 17 "
 "   0 17   1  9   2  5   3 10   4 14   6 15   7 13   8 11  12 16 "

#12 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 13   9 14  10 12  11 17  15 16 "
 "   0  5   1  2   3  9   4  6   7 12   8 15  10 16  11 13  14 17 "
 "   0  6   1 15   2 14   3  5   4  8   7 13   9 11  10 17  12 16 "
 "   0  7   1 14   2  4   3 15   5  9   6 12   8 10  11 16  13 17 "
 "   0  8   1 13   2 16   3 11   4 14   5 10   6  9   7 17  12 15 "
 "   0  9   1 12   2 10   3 17   4 11   5 15   6 16   7  8  13 14 "
 "   0 10   1 17   2 11   3  7   4 13   5  6   8 16   9 15  12 14 "
 "   0 11   1 16   2  6   3 10   4  7   5 12   8 14   9 17  13 15 "
 "   0 12   1  8   2 17   3  4   5 14   6 15   7 11   9 16  10 13 "
 "   0 13   1  9   2  5   3 16   4 15   6 10   7 14   8 17  11 12 "
 "   0 14   1 11   2 12   3  8   4 16   5 13   6 17   7 15   9 10 "
 "   0 15   1 10   2  9   3 13   4 12   5 17   6 14   7 16   8 11 "
 "   0 16   1  7   2 15   3 12   4 17   5 11   6  8   9 13  10 14 "
 "   0 17   1  6   2 13   3 14   4 10   5 16   7  9   8 12  11 15 "

#13 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 13   9 15  10 12  11 16  14 17 "
 "   0  5   1  2   3  9   4  6   7 12   8 14  10 17  11 13  15 16 "
 "   0  6   1  8   2 12   3 17   4  7   5 11   9 14  10 16  13 15 "
 "   0  7   1  9   2 16   3 13   4 10   5  6   8 15  11 17  12 14 "
 "   0  8   1 14   2 15   3 12   4 16   5 13   6 17   7 11   9 10 "
 "   0  9   1 15   2 13   3 14   4 12   5 17   6 10   7 16   8 11 "
 "   0 10   1 16   2  5   3  7   4 11   6 14   8 17   9 13  12 15 "
 "   0 11   1 17   2  6   3  4   5 10   7 15   8 12   9 16  13 14 "
 "   0 12   1 11   2 14   3 10   4  8   5 16   6 15   7  9  13 17 "
 "   0 13   1 10   2 11   3 15   4 17   5  9   6  8   7 14  12 16 "
 "   0 14   1  6   2  9   3 11   4 15   5 12   7 17   8 16  10 13 "
 "   0 15   1  7   2 10   3  8   4 13   5 14   6 16   9 17  11 12 "
 "   0 16   1 12   2 17   3  5   4 14   6  9   7 13   8 10  11 15 "
 "   0 17   1 13   2  4   3 16   5 15   6 12   7  8   9 11  10 14 "

#14 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 13   9 15  10 12  11 16  14 17 "
 "   0  5   1  2   3  9   4  6   7 12   8 14  10 17  11 13  15 16 "
 "   0  6   1 11   2  9   3  7   4 15   5 17   8 16  10 13  12 14 "
 "   0  7   1 10   2  6   3  8   4 16   5 14   9 17  11 12  13 15 "
